1024 175
643 311 166
1006 498 105
922 752 72
844 999 63
792 757 139
508 534 102
806 108 52
663 472 6
164 399 159
936 976 150
333 298 77
466 333 22
621 396 25
577 833 74
667 412 124
95 508 180
120 54 144
514 752 128
391 283 165
325 6 171
70 964 50
322 639 178
845 286 67
838 490 100
851 16 100
729 578 26
476 639 178
823 268 199
279 456 135
761 810 144
185 469 81
835 239 115
575 609 119
778 611 19
836 582 128
356 365 70
1005 240 100
664 365 125
244 886 14
408 978 196
563 940 141
766 224 190
170 642 29
443 466 48
479 562 150
3 145 143
735 249 85
717 639 46
859 952 189
981 484 131
147 929 4
753 298 165
14 1010 68
507 469 10
645 370 182
946 325 32
267 347 138
557 877 128
898 54 193
760 563 90
671 659 136
957 862 86
544 95 5
980 311 187
246 698 198
683 810 55
222 453 154
975 850 175
330 160 48
148 767 59
72 940 189
674 642 111
527 129 6
994 709 8
198 715 185
371 726 186
281 862 147
721 627 55
774 642 51
604 159 200
150 577 40
909 412 91
589 949 191
938 925 94
495 83 152
419 943 124
601 486 82
287 368 59
520 822 172
110 268 102
910 821 33
207 69 38
47 994 98
17 2 175
139 621 28
777 52 137
436 659 160
549 367 134
293 604 83
644 845 133
987 797 164
236 711 79
282 261 113
60 957 200
543 642 123
1020 1005 85
285 806 18
598 82 180
518 484 143
785 890 191
1009 305 88
840 698 162
481 836 132
873 944 61
597 147 159
815 298 10
570 761 60
233 400 40
702 277 194
618 715 84
460 509 57
494 739 50
348 494 122
349 524 158
156 308 172
989 541 9
802 822 92
142 762 146
982 246 40
884 96 186
701 883 101
682 127 172
1021 208 155
475 448 147
36 283 10
1003 57 191
984 411 180
584 231 191
554 105 49
385 981 47
879 677 156
327 538 196
995 116 17
152 108 79
741 822 186
146 96 195
483 714 162
926 167 149
1007 843 108
809 958 71
635 293 145
87 1016 185
201 910 178
788 635 79
63 36 11
257 96 137
263 980 162
501 135 36
695 184 93
510 128 8
837 110 146
798 728 164
340 739 8
390 131 43
553 38 66
271 434 156
620 403 105
497 113 178
234 577 190
473 281 130
420 14 67
172 340 122
746 85 72
919 128 100
352 767 141
471 156 57
254 358 97
787 721 108
650 851 88
168 435 62
1019 662 85
596 341 85
696 580 174
1022 709 13
1011 920 44
76 258 155
586 524 175
560 541 31
572 238 173
1008 674 119
842 501 166
206 131 180
161 148 30
452 628 64
245 149 169
122 1019 45
276 301 1
78 921 43
5 43 73
932 611 184
658 86 61
209 842 147
46 822 136
941 43 90
616 739 92
109 981 195
935 209 154
337 815 32
748 246 118
136 38 116
360 1001 175
28 858 114
566 834 117
532 704 77
854 562 12
853 924 164
888 327 142
219 289 5
564 589 2
749 167 71
708 637 194
323 284 34
306 423 122
824 698 57
84 925 173
270 61 9
309 206 98
296 850 123
190 24 39
513 216 149
789 752 66
181 594 196
297 513 186
450 797 151
165 838 106
983 1003 105
904 928 33
537 984 195
10 483 20
401 154 50
892 987 39
48 358 136
647 116 39
587 146 118
724 297 133
707 954 14
329 611 127
588 239 29
535 297 41
947 287 116
574 604 102
583 554 76
106 367 189
355 411 126
409 593 183
516 507 130
300 822 188
334 1002 120
485 621 73
132 910 94
872 52 183
846 608 7
188 892 29
39 725 17
951 124 189
312 671 177
64 869 106
829 283 196
727 505 73
619 182 200
194 972 187
454 401 162
382 207 56
744 608 14
993 980 76
786 188 130
274 716 51
482 862 46
626 368 74
967 405 164
546 935 173
180 331 179
623 108 139
280 707 102
529 856 185
237 376 185
79 259 13
614 497 29
521 106 67
542 219 152
953 377 125
536 544 50
795 159 169
656 311 110
670 233 137
555 60 191
464 888 149
468 868 65
212 904 183
273 484 85
661 591 86
410 622 36
565 443 34
440 522 40
503 412 72
700 709 40
27 879 106
474 48 4
996 216 172
990 913 64
197 482 2
672 460 19
407 639 43
579 554 81
657 518 71
425 427 58
193 333 111
307 797 128
602 996 109
426 48 55
791 539 74
320 521 167
480 802 82
363 868 67
462 828 43
799 802 128
1013 471 171
290 483 106
373 623 21
186 664 70
558 473 124
196 936 61
493 422 176
80 495 14
318 928 45
847 563 115
519 460 11
195 265 196
155 415 48
900 133 161
848 29 92
669 197 77
55 978 163
796 408 35
830 87 147
295 16 122
502 345 79
632 271 41
68 236 49
100 921 132
653 327 31
332 234 9
666 1014 190
126 195 53
773 957 19
689 503 145
719 495 149
526 19 130
511 1014 97
759 185 20
26 723 94
679 1010 149
34 1003 139
803 337 168
880 976 110
37 274 116
187 746 35
691 716 165
203 567 146
7 608 80
1012 650 83
552 113 36
200 249 174
241 170 176
512 199 96
441 53 80
99 537 35
316 557 88
612 376 135
404 990 85
88 840 68
374 473 110
42 544 103
651 479 197
705 643 164
4 448 199
826 587 73
811 645 56
775 561 64
772 499 175
313 395 169
256 723 1
91 978 100
737 925 99
210 555 117
92 527 57
640 287 93
477 456 147
688 93 194
250 255 88
141 807 26
540 427 64
687 38 179
911 297 117
548 209 39
979 204 181
968 91 21
189 983 101
470 9 70
354 180 136
183 250 152
934 406 187
783 273 137
12 249 15
458 563 96
386 674 69
747 774 55
162 562 110
314 146 71
974 695 138
317 1000 40
101 110 173
157 303 113
718 719 94
915 385 53
931 843 97
681 95 189
897 962 23
1017 88 128
13 791 21
226 66 79
213 180 138
416 3 191
743 917 101
44 628 156
634 108 66
660 929 49
138 83 99
969 262 166
1004 56 102
402 295 120
455 254 20
885 486 189
793 157 140
576 586 72
107 372 16
902 213 1
731 166 148
820 900 86
90 577 130
151 404 162
417 39 47
50 722 200
288 666 6
706 909 100
118 540 82
439 859 109
533 996 131
351 843 46
89 273 112
997 784 179
905 964 45
896 81 19
397 517 148
528 820 180
961 82 34
125 645 120
768 475 165
59 664 109
568 926 83
523 835 128
986 504 156
881 162 133
956 672 137
242 454 28
74 239 114
860 659 14
32 493 192
945 526 121
955 673 156
636 56 52
67 27 68
841 356 196
112 700 166
496 189 150
446 223 145
825 148 53
763 1020 44
551 251 138
119 263 167
171 210 187
703 170 146
733 826 78
819 495 97
252 727 44
102 766 66
335 209 66
338 155 40
192 535 50
310 69 110
569 578 162
73 639 102
874 472 177
547 674 6
878 828 184
40 611 51
304 481 130
500 696 143
685 727 141
754 482 75
751 698 103
599 55 96
115 810 156
966 677 40
260 367 90
389 199 161
381 501 145
461 966 75
243 399 153
433 591 126
857 504 68
117 837 182
144 791 172
35 119 42
571 370 131
710 117 152
114 701 148
530 294 43
299 1021 182
697 126 61
292 582 83
559 569 1
65 871 59
713 889 188
491 826 66
378 651 81
668 12 171
758 253 145
211 882 19
686 814 182
750 111 112
364 575 114
603 609 5
418 684 33
745 273 24
676 748 60
991 869 35
229 1012 87
971 496 50
865 911 25
214 914 25
732 905 108
804 618 129
429 199 170
965 312 182
927 691 179
432 953 80
25 990 147
912 678 112
515 720 160
903 827 126
291 220 160
205 702 72
442 37 174
832 943 106
918 254 39
123 326 171
693 974 174
641 779 137
414 251 149
556 20 96
158 800 164
315 100 78
359 429 120
937 260 128
1018 435 184
755 565 162
121 929 116
864 978 82
654 686 157
631 655 60
235 706 115
652 332 6
916 6 96
736 221 89
278 204 131
876 286 180
134 567 29
817 40 155
1015 922 140
272 899 64
680 733 116
867 639 2
690 230 156
600 118 128
339 501 143
361 1024 152
175 920 12
143 555 111
215 886 125
41 391 98
781 81 31
863 670 92
891 478 59
302 637 7
232 58 148
1 732 145
94 591 106
103 150 120
939 813 149
467 1000 55
336 705 77
730 84 37
23 513 50
178 695 99
831 699 174
950 701 39
430 724 14
630 223 34
227 676 59
942 985 65
606 688 65
130 117 130
585 935 99
321 258 181
782 711 63
839 478 189
388 364 5
607 894 158
963 269 192
769 920 157
870 540 187
531 553 132
465 495 182
506 524 132
675 293 154
225 441 34
742 893 118
393 649 110
342 121 77
638 320 136
11 84 153
392 128 128
738 302 178
77 47 178
605 162 174
595 428 72
163 138 155
0 0 0
